population,scenario,model,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params,n_features,features_used
P2,S3,DecisionTree,0.3,0.8386315789473683,0.05737431162418447,0.8144602674355662,0.8628028904591704,0.6480833333333333,0.12696363215066309,0.5945946305235216,0.7015720361431451,0.7120209592608974,0.21683068819578852,0.6206720269368081,0.8033698915849866,0.6480833333333333,0.12696363215066309,0.5945946305235216,0.7015720361431451,0.6477548957291482,0.1515236979450976,0.5839192452303398,0.7115905462279567,0.6300208333333334,0.14156429205390114,0.5703809961777061,0.6896606704889606,0.76,0.55,0.5757575757575758,0.55,0.5535714285714286,0.46,0.2,"{""model__min_samples_split"": 2, ""model__min_samples_leaf"": 3, ""model__max_features"": ""log2"", ""model__max_depth"": 2, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.015}",,
P2,S3,RandomForest,0.5,0.7792631578947369,0.07269379486334682,0.7486378778543166,0.8098884379351572,0.6036666666666667,0.11468447051705727,0.5553510706453737,0.6519822626879597,0.6251659266945644,0.16878557699848157,0.5540579927632081,0.6962738606259207,0.6036666666666667,0.11468447051705727,0.5553510706453737,0.6519822626879597,0.5987051619144304,0.12409893704501292,0.5464233308879102,0.6509869929409505,0.6161041666666667,0.15194913599805546,0.552089282719719,0.6801190506136143,0.76,0.625,0.625,0.625,0.625,0.7899999999999999,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": 0.5, ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": ""balanced_subsample""}",,
P2,S4,Dummy,0.3,0.8063157894736841,0.01835325870964491,0.7985837170362254,0.8140478619111428,0.5,0.0,,,0.40315789473684205,0.009176629354822455,0.3992918585181127,0.4070239309555714,0.5,0.0,,,0.44633053221288516,0.005552345501367277,0.4439913760829817,0.4486696883427886,0.5,0.0,,,0.8,0.5,0.4,0.5,0.4444444444444444,0.5,0.0,{},,
P2,S4,LogisticRegression,0.5,0.6566315789473685,0.10801436243886639,0.6111260429618525,0.7021371149328844,0.5940833333333333,0.16165450985220162,0.5259796575886958,0.6621870090779708,0.5639907984172691,0.12365216227480391,0.5118971898171385,0.6160844070173996,0.5940833333333333,0.16165450985220162,0.5259796575886958,0.6621870090779708,0.5538948691999304,0.13262191675530213,0.4980223790133388,0.6097673593865219,0.6340416666666667,0.16220478525959434,0.5657061645538717,0.7023771687794618,0.68,0.575,0.5595238095238095,0.575,0.5614035087719298,0.74,0.4,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}",,
P2,S4,DecisionTree,0.5,0.7857894736842106,0.08393375570210347,0.7504288933478382,0.8211500540205829,0.5963333333333334,0.11812228832866387,0.546569413787229,0.6460972528794378,0.6321987511112899,0.19255909788860007,0.5510752341968836,0.7133222680256961,0.5963333333333334,0.11812228832866387,0.546569413787229,0.6460972528794378,0.5900823901301719,0.13258479648649674,0.5342255383984097,0.6459392418619342,0.6176875000000001,0.12319878288427476,0.565784896296857,0.6695901037031431,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.65,0.4,"{""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 2, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.02}",,
P2,S4,RandomForest,0.5,0.7818947368421053,0.07424717273593506,0.7506150318614815,0.8131744418227291,0.5925833333333334,0.11528810529374756,0.5440134310935656,0.6411532355731011,0.6123861491965207,0.1683312127559518,0.5414696350719579,0.6833026633210835,0.5925833333333334,0.11528810529374756,0.5440134310935656,0.6411532355731011,0.5888126405009707,0.12830707680699577,0.5347579558367745,0.6428673251651669,0.6269583333333334,0.13623512915788888,0.5695636273663887,0.6843530393002781,0.84,0.675,0.7651515151515151,0.675,0.7023809523809523,0.6799999999999999,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 5, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced_subsample""}",,
P2,S5,Dummy,0.3,0.8063157894736841,0.01835325870964491,0.7985837170362254,0.8140478619111428,0.5,0.0,,,0.40315789473684205,0.009176629354822455,0.3992918585181127,0.4070239309555714,0.5,0.0,,,0.44633053221288516,0.005552345501367277,0.4439913760829817,0.4486696883427886,0.5,0.0,,,0.8,0.5,0.4,0.5,0.4444444444444444,0.5,0.0,{},,
P2,S5,LogisticRegression,0.5,0.6713684210526316,0.11352161862278409,0.6235427246847354,0.7191941174205279,0.5994166666666667,0.15613775968675866,0.5336371510384096,0.6651961822949238,0.572455932955933,0.12418406929951939,0.5201382364316818,0.6247736294801842,0.5994166666666667,0.15613775968675866,0.5336371510384096,0.6651961822949238,0.5659782630956157,0.13569240805644042,0.5088122009317212,0.6231443252595102,0.6275,0.1569293564527258,0.5613869913592731,0.6936130086407268,0.76,0.625,0.625,0.625,0.625,0.71,0.4,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}",,
P2,S5,DecisionTree,0.55,0.7654736842105264,0.11012790347888105,0.7190777312870992,0.8118696371339537,0.6355833333333333,0.1278751561311092,0.5817106131914068,0.6894560534752597,0.645157894736842,0.1672496331228976,0.5746970409504218,0.7156187485232622,0.6355833333333333,0.1278751561311092,0.5817106131914068,0.6894560534752597,0.6195451907249984,0.13321605335156603,0.5634223958228936,0.6756679856271032,0.6451041666666667,0.15348370683524976,0.5804427810242265,0.7097655523091069,0.76,0.7,0.6587301587301587,0.7,0.6710526315789473,0.76,0.6,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 3, ""model__max_features"": null, ""model__max_depth"": 2, ""model__criterion"": ""entropy"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.01}",,
P2,S5,RandomForest,0.5,0.7817894736842105,0.0823744574885771,0.7470858124775319,0.816493134890889,0.6255833333333333,0.12691248078017298,0.5721161801626435,0.679050486504023,0.6474985257260799,0.16782140332732884,0.5767967899955764,0.7182002614565834,0.6255833333333333,0.12691248078017298,0.5721161801626435,0.679050486504023,0.6228216216341257,0.13445244671203943,0.5661779446818295,0.6794652985864219,0.6662083333333332,0.120629166594706,0.6153882872076616,0.7170283794590048,0.84,0.675,0.7651515151515151,0.675,0.7023809523809523,0.6399999999999999,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",,
P2,S5_Top10,RandomForest,0.5,0.8146315789473685,0.07342842822791565,0.7836968040929926,0.8455663538017444,0.6405833333333333,0.11321243551640231,0.5928878931892937,0.6882787734773729,0.6993433952528381,0.18031960432522628,0.6233762733049607,0.7753105172007154,0.6405833333333333,0.11321243551640231,0.5928878931892937,0.6882787734773729,0.6518448177902636,0.13239889691557583,0.5960662839731121,0.7076233516074151,0.7193958333333333,0.13062842898210686,0.6643631826602246,0.774428484006442,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.6499999999999999,0.4,"{""model__n_estimators"": 200, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": 1.0, ""model__max_depth"": 6, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",10.0,"TP_First2_Mean, Laporan_Max, Laporan_Mean, Respons_Std, Respons_Trend, Respons_Last2_Mean, Performance_Std, Performance_Late_Mean, TP_Last2_Mean, Attendance_PreFinal_Rate"
P2,S5_Top15,RandomForest,0.5,0.8002105263157895,0.06427916952130783,0.7731302566578866,0.8272907959736924,0.63125,0.11677376037068904,0.5820542038602049,0.6804457961397951,0.6564109907120742,0.16671223193093893,0.5861765394958971,0.7266454419282513,0.63125,0.11677376037068904,0.5820542038602049,0.6804457961397951,0.6294683751310886,0.1294150286466823,0.5749469197414752,0.683989830520702,0.6891666666666667,0.12881774107888505,0.6348968434701839,0.7434364898631495,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.69,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": 0.5, ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": ""balanced_subsample""}",15.0,"TP_First2_Mean, Laporan_Max, Laporan_Mean, Respons_Std, Respons_Trend, Respons_Last2_Mean, Performance_Std, Performance_Late_Mean, TP_Last2_Mean, Attendance_PreFinal_Rate, Respons_Mean, TP_Trend, Performance_Mean, Laporan_Std, Laporan_Trend"
P2,S5_Top20,RandomForest,0.5,0.782,0.08712610658553187,0.7452945092764884,0.8187054907235116,0.6309999999999999,0.13254758055547866,0.5751588270247469,0.6868411729752529,0.650000626566416,0.1686174100128563,0.5789635399616851,0.7210377131711468,0.6309999999999999,0.13254758055547866,0.5751588270247469,0.6868411729752529,0.627592105069351,0.13815757264170278,0.5693874899462761,0.685796720192426,0.6772499999999999,0.12242581370410047,0.6256730416652126,0.7288269583347872,0.84,0.675,0.7651515151515151,0.675,0.7023809523809523,0.6699999999999999,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 4, ""model__max_features"": 0.7, ""model__max_depth"": 5, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",20.0,"TP_First2_Mean, Laporan_Max, Laporan_Mean, Respons_Std, Respons_Trend, Respons_Last2_Mean, Performance_Std, Performance_Late_Mean, TP_Last2_Mean, Attendance_PreFinal_Rate, Respons_Mean, TP_Trend, Performance_Mean, Laporan_Std, Laporan_Trend, Performance_Trend, TP_Std, TP_Mean, Laporan_Completion_Rate, Laporan_Min"
P2,S5_Top25,RandomForest,0.5,0.786,0.07853478153886556,0.7529139617478726,0.8190860382521274,0.62825,0.12510839744442062,0.5755428918576037,0.6809571081423963,0.6499831195636149,0.16744179742444548,0.5794413085846346,0.7205249305425951,0.62825,0.12510839744442062,0.5755428918576037,0.6809571081423963,0.6254804709728972,0.13365394580020573,0.5691731956912444,0.68178774625455,0.6691666666666667,0.1254128598536317,0.6163312910901462,0.7220020422431872,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.6399999999999999,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",25.0,"TP_First2_Mean, Laporan_Max, Laporan_Mean, Respons_Std, Respons_Trend, Respons_Last2_Mean, Performance_Std, Performance_Late_Mean, TP_Last2_Mean, Attendance_PreFinal_Rate, Respons_Mean, TP_Trend, Performance_Mean, Laporan_Std, Laporan_Trend, Performance_Trend, TP_Std, TP_Mean, Laporan_Completion_Rate, Laporan_Min, Laporan_Last2_Mean, TP_Max, Respons_Max, TP_Min, Respons_Min"
P2,S5_Top29,RandomForest,0.5,0.7879999999999999,0.0742947636873376,0.7567002453546581,0.8192997546453418,0.63325,0.11713074366327189,0.5839038098227818,0.6825961901772182,0.6549831195636149,0.16089414013286155,0.5871997811412044,0.7227664579860253,0.63325,0.11713074366327189,0.5839038098227818,0.6825961901772182,0.6304087863850836,0.1264017512699777,0.5771567992310261,0.683660773539141,0.669625,0.12341026598302104,0.6176333002586725,0.7216166997413276,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.6399999999999999,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",29.0,"TP_First2_Mean, Laporan_Max, Laporan_Mean, Respons_Std, Respons_Trend, Respons_Last2_Mean, Performance_Std, Performance_Late_Mean, TP_Last2_Mean, Attendance_PreFinal_Rate, Respons_Mean, TP_Trend, Performance_Mean, Laporan_Std, Laporan_Trend, Performance_Trend, TP_Std, TP_Mean, Laporan_Completion_Rate, Laporan_Min, Laporan_Last2_Mean, TP_Max, Respons_Max, TP_Min, Respons_Min, Absence_Count, Respons_Completion_Rate, TP_Completion_Rate, Partial_Attendance_Count"
