Laporan_Improvement,Respons_Improvement,TP_Improvement,Laporan_EarlyMean,Laporan_LateMean,Respons_EarlyMean,Respons_LateMean,TP_EarlyMean,TP_LateMean,Overall_Consistency,Overall_Recent_Mean,Overall_Trend,Performance_Mean,Laporan_Mean,Respons_Mean,TP_Mean,Laporan_Std,Respons_Std,TP_Std,Laporan_Completion_Rate,Attendance_PreFinal_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
2.166666666666657,-54.66666666666667,1.0,86.16666666666667,88.33333333333333,84.0,29.333333333333332,84.0,85.0,0.03563789530703808,73.5,-10.166666666666671,76.13888888888889,87.25,56.666666666666664,84.5,2.0155644370746373,40.14418457953226,2.9297326385411577,1.0,0.8333333333333334,1,Kompeten,60200125050,A,UNIFIED
21.0,1.0,1.0,65.83333333333333,86.83333333333333,83.33333333333333,84.33333333333333,83.33333333333333,84.33333333333333,0.10038813359386393,86.66666666666667,8.833333333333343,81.33333333333333,76.33333333333333,83.83333333333333,83.83333333333333,13.897441810955314,2.266911751455907,2.266911751455907,1.0,1.0,0,Belum Kompeten,60200125053,A,UNIFIED
10.0,-9.666666666666671,-9.666666666666671,79.66666666666667,89.66666666666667,86.66666666666667,77.0,86.66666666666667,77.0,0.11359081372339724,79.5,-4.416666666666671,82.77777777777777,84.66666666666667,81.83333333333333,81.83333333333333,7.982620009885365,7.536946036396675,7.536946036396675,1.0,1.0,1,Kompeten,60200125074,A,UNIFIED
4.5,1.0,3.6666666666666714,83.66666666666667,88.16666666666667,54.333333333333336,55.333333333333336,81.0,84.66666666666667,0.03631420573359071,73.16666666666667,5.666666666666671,74.52777777777777,85.91666666666667,54.833333333333336,82.83333333333333,2.921424690493017,38.8261795985933,3.1841621957571333,1.0,0.8333333333333334,1,Kompeten,60200125075,A,UNIFIED
16.66666666666667,-28.333333333333336,-15.0,72.83333333333333,89.5,84.66666666666667,56.333333333333336,84.66666666666667,69.66666666666667,0.04367143358779795,66.0,-13.083333333333329,76.27777777777777,81.16666666666667,70.5,77.16666666666667,10.155731824388084,31.58454263296104,16.727389382553262,1.0,1.0,1,Kompeten,60200125078,A,UNIFIED
28.000000000000007,23.666666666666664,12.0,62.666666666666664,90.66666666666667,58.333333333333336,82.0,71.66666666666667,83.66666666666667,0.040461684150245605,87.5,6.166666666666671,74.83333333333333,76.66666666666667,70.16666666666667,77.66666666666667,18.92896076269259,31.5722275988812,17.288403306519918,1.0,0.8333333333333334,1,Kompeten,60200125099,A,UNIFIED
9.333333333333329,-7.333333333333329,-5.666666666666657,78.5,87.83333333333333,84.33333333333333,77.0,84.33333333333333,78.66666666666667,0.11823545908765687,80.16666666666667,-1.75,81.77777777777777,83.16666666666667,80.66666666666667,81.5,7.174414416676961,7.180219742846006,7.783529619223745,1.0,1.0,0,Belum Kompeten,60200125100,A,UNIFIED
9.0,0.0,0.0,79.83333333333333,88.83333333333333,85.66666666666667,85.66666666666667,85.66666666666667,85.66666666666667,0.16917796867875687,87.5,3.4166666666666714,85.22222222222223,84.33333333333333,85.66666666666667,85.66666666666667,7.8351061823621055,2.2110831935702664,2.2110831935702664,1.0,1.0,1,Kompeten,60200125101,A,UNIFIED
10.0,-7.833333333333329,-7.833333333333329,79.0,89.0,85.5,77.66666666666667,85.5,77.66666666666667,0.12379228038993903,80.33333333333333,-1.9166666666666714,82.38888888888889,84.0,81.58333333333333,81.58333333333333,7.593857166596345,6.660935036130856,6.660935036130856,1.0,1.0,1,Kompeten,60200125114,A,UNIFIED
-41.333333333333336,-2.3333333333333357,-2.3333333333333357,41.333333333333336,0.0,55.0,52.666666666666664,55.0,52.666666666666664,0.02475565889553867,26.666666666666668,-42.33333333333333,42.77777777777778,20.666666666666668,53.833333333333336,53.833333333333336,31.867782407245652,38.12443077899291,38.12443077899291,0.3333333333333333,0.6666666666666666,0,Belum Kompeten,60200125116,A,UNIFIED
11.666666666666657,-0.3333333333333286,-0.3333333333333286,78.16666666666667,89.83333333333333,83.33333333333333,83.0,83.33333333333333,83.0,0.1715224844963908,86.5,5.5,83.44444444444444,84.0,83.16666666666667,83.16666666666667,8.118907972545733,1.3437096247164249,1.3437096247164249,1.0,1.0,1,Kompeten,60200125117,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,Belum Kompeten,60200125118,A,UNIFIED
-16.333333333333336,-1.0,-1.0,44.333333333333336,28.0,57.666666666666664,56.666666666666664,57.666666666666664,56.666666666666664,0.02390205048969793,70.66666666666667,-9.166666666666657,50.166666666666664,36.166666666666664,57.166666666666664,57.166666666666664,37.852418093901946,40.47392850822476,40.47392850822476,0.5,0.6666666666666666,1,Kompeten,60200125119,A,UNIFIED
1.1666666666666714,-31.333333333333336,-2.3333333333333286,85.0,86.16666666666667,86.0,54.666666666666664,86.0,83.66666666666667,0.04852451432531208,71.83333333333333,-14.083333333333343,80.25,85.58333333333333,70.33333333333333,84.83333333333333,2.3702437755546484,31.531289574361246,2.4094720491334933,1.0,0.8333333333333334,1,Kompeten,60200125120,A,UNIFIED
13.666666666666664,28.333333333333336,28.333333333333336,42.833333333333336,56.5,56.666666666666664,85.0,56.666666666666664,85.0,0.027467950020416333,71.0,-7.083333333333329,63.77777777777778,49.666666666666664,70.83333333333333,70.83333333333333,38.13754347388177,31.68289058080963,31.68289058080963,0.6666666666666666,0.8333333333333334,1,Kompeten,60200125121,A,UNIFIED
10.166666666666671,-9.0,-7.333333333333343,78.33333333333333,88.5,85.66666666666667,76.66666666666667,85.66666666666667,78.33333333333333,0.11359272750812975,80.83333333333333,-2.4166666666666714,82.19444444444444,83.41666666666667,81.16666666666667,82.0,7.807137048168739,7.44796765716811,7.979139469057215,1.0,1.0,1,Kompeten,60200125122,A,UNIFIED
19.66666666666667,29.333333333333336,16.0,70.0,89.66666666666667,53.333333333333336,82.66666666666667,66.66666666666667,82.66666666666667,0.044721399936042606,85.66666666666667,8.166666666666671,74.16666666666667,79.83333333333333,68.0,74.66666666666667,11.14550233153366,30.48496897379647,15.648926125740667,1.0,0.9166666666666666,0,Belum Kompeten,60200125147,A,UNIFIED
10.666666666666671,-1.6666666666666714,-1.6666666666666714,78.33333333333333,89.0,85.66666666666667,84.0,85.66666666666667,84.0,0.16598527798646664,86.66666666666667,2.833333333333343,84.44444444444444,83.66666666666667,84.83333333333333,84.83333333333333,7.738791177495933,2.733536577809454,2.733536577809454,1.0,1.0,1,Kompeten,60200125151,A,UNIFIED
-0.5,-1.0,-1.0,29.166666666666668,28.666666666666668,56.0,55.0,56.0,55.0,0.023378071834297305,41.666666666666664,-28.916666666666664,46.638888888888886,28.916666666666668,55.5,55.5,40.89663460753491,39.318146785761236,39.318146785761236,0.3333333333333333,0.6666666666666666,0,Belum Kompeten,60200125152,A,UNIFIED
