TP_Mean,TP_Std,TP_Min,TP_Max,TP_Last2_Mean,TP_First2_Mean,TP_Trend,Respons_Mean,Respons_Std,Respons_Min,Respons_Max,Respons_Last2_Mean,Respons_Trend,Laporan_Mean,Laporan_Std,Laporan_Min,Laporan_Max,Laporan_Last2_Mean,Laporan_Trend,Attendance_PreFinal_Rate,Absence_Count,Partial_Attendance_Count,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Mean,Performance_Std,Performance_Late_Mean,Performance_Trend,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
90.2,8.255906976220118,80.0,100.0,93.0,92.5,-3.8333333333333286,90.2,8.255906976220118,80.0,100.0,93.0,-3.8333333333333286,87.5,3.4351128074635335,81.0,90.0,88.25,3.3333333333333286,1.0,0,0,1.0,1.0,1.0,89.3,7.1409616532602485,91.41666666666667,1.25,1,Kompeten,60200125021,B,UNIFIED
73.2,37.38127873682226,0.0,100.0,91.5,91.5,-30.5,73.2,37.38127873682226,0.0,100.0,91.5,-30.5,60.6,21.40420519430703,42.0,88.0,42.0,-8.166666666666664,1.0,0,0,0.8,0.8,1.0,69.0,33.459926280054276,75.0,-7.833333333333329,1,Kompeten,60200125035,B,UNIFIED
92.4,9.329523031752482,80.0,100.0,91.0,90.0,4.0,92.4,9.329523031752482,80.0,100.0,91.0,4.0,57.2,22.82454818829937,35.0,87.0,38.0,-46.333333333333336,1.0,0,0,1.0,1.0,1.0,80.66666666666667,22.517153954756854,73.33333333333333,-15.0,0,Belum Kompeten,60200125036,B,UNIFIED
76.0,38.781438859330635,0.0,100.0,90.0,50.0,43.33333333333333,76.0,38.781438859330635,0.0,100.0,90.0,43.33333333333333,51.7,19.153589741873454,41.5,90.0,42.0,-24.25,0.8,1,0,0.8,0.8,1.0,67.9,35.44253565044879,74.0,18.583333333333336,1,Kompeten,60200125048,B,UNIFIED
88.4,9.499473669630333,80.0,100.0,91.0,90.0,-2.6666666666666714,88.4,9.499473669630333,80.0,100.0,91.0,-2.6666666666666714,69.5,22.185580902919806,42.0,90.0,42.5,-28.333333333333336,1.0,0,0,1.0,1.0,1.0,82.1,17.424312516328058,74.83333333333333,-14.0,1,Kompeten,60200125055,B,UNIFIED
86.8,7.30479294709987,80.0,100.0,87.0,90.0,-5.333333333333329,86.8,7.30479294709987,80.0,100.0,87.0,-5.333333333333329,68.4,20.730171248689675,43.0,88.0,43.25,-25.583333333333336,1.0,0,0,1.0,1.0,1.0,80.66666666666667,15.939120288006974,72.41666666666667,-15.5,1,Kompeten,60200125056,B,UNIFIED
87.8,6.615134163416491,80.0,100.0,93.5,82.5,8.833333333333329,87.8,6.615134163416491,80.0,100.0,93.5,8.833333333333329,32.8,30.168858115613194,0.0,80.0,42.0,-12.0,1.0,0,0,1.0,1.0,0.6,69.46666666666667,31.698299989466665,76.33333333333333,8.0,1,Kompeten,60200125057,B,UNIFIED
88.4,9.499473669630333,80.0,100.0,91.0,90.0,-2.6666666666666714,88.4,9.499473669630333,80.0,100.0,91.0,-2.6666666666666714,88.3,1.5362291495737217,85.5,90.0,89.0,0.9166666666666714,0.8,1,0,1.0,1.0,1.0,88.36666666666666,7.806976936618225,90.33333333333333,1.0833333333333286,1,Kompeten,60200125058,B,UNIFIED
92.4,9.393614852653903,79.0,100.0,89.5,91.5,1.5,92.4,9.393614852653903,79.0,100.0,89.5,1.5,68.2,34.226597844366594,0.0,89.0,87.75,-24.25,0.8,1,0,1.0,1.0,0.8,84.33333333333333,24.071883091182453,88.91666666666667,0.3333333333333428,1,Kompeten,60200125072,B,UNIFIED
20.0,40.0,0.0,100.0,0.0,50.0,-50.0,20.0,40.0,0.0,100.0,0.0,-50.0,60.8,22.276893858884364,40.0,88.0,41.25,-9.916666666666664,0.6,2,0,0.2,0.2,1.0,33.6,40.02507547359114,13.75,-41.833333333333336,1,Kompeten,60200125094,B,UNIFIED
76.0,38.781438859330635,0.0,100.0,50.0,90.0,-23.33333333333333,76.0,38.781438859330635,0.0,100.0,50.0,-23.33333333333333,86.0,3.271085446759225,80.0,88.5,88.5,5.833333333333329,0.8,1,0,0.8,0.8,1.0,79.33333333333333,32.069542490586855,62.833333333333336,-24.666666666666664,1,Kompeten,60200125096,B,UNIFIED
74.0,37.62446012901713,0.0,100.0,93.5,91.5,-29.166666666666664,74.0,37.62446012901713,0.0,100.0,93.5,-29.166666666666664,87.8,2.4617067250182343,83.0,90.0,88.75,2.1666666666666714,1.0,0,0,0.8,0.8,1.0,78.6,31.43363379142369,91.91666666666667,2.083333333333343,1,Kompeten,60200125103,B,UNIFIED
86.6,7.059745037889115,80.0,100.0,85.0,90.0,-5.666666666666671,86.6,7.059745037889115,80.0,100.0,85.0,-5.666666666666671,88.4,1.8275666882497061,85.0,90.0,88.5,1.5,1.0,0,0,1.0,1.0,1.0,87.2,5.921148537234984,86.16666666666667,-3.0,1,Kompeten,60200125104,B,UNIFIED
89.4,9.024411338142782,80.0,100.0,93.5,90.0,-1.0,89.4,9.024411338142782,80.0,100.0,93.5,-1.0,86.6,3.7202150475476548,80.0,90.0,89.0,2.6666666666666714,1.0,0,0,1.0,1.0,1.0,88.46666666666667,7.787739652099889,92.0,3.6666666666666714,1,Kompeten,60200125113,B,UNIFIED
