threshold,accuracy,balanced_accuracy,f1_macro,recall_belum_kompeten,Population,Scenario,Model
0.7,0.5816326530612245,0.5606262491672218,0.5120825743776564,0.5263157894736842,P2,S3,DecisionTree
0.3,0.8061224489795918,0.6199200532978015,0.6359726295210166,0.3157894736842105,P2,S3,RandomForest
0.35,0.7959183673469388,0.6135909393737509,0.6265243902439024,0.3157894736842105,P2,S3,RandomForest
0.4,0.8061224489795918,0.6598934043970686,0.6695652173913044,0.4210526315789473,P2,S3,RandomForest
0.45,0.7857142857142857,0.6472351765489673,0.6501784803671596,0.4210526315789473,P2,S3,RandomForest
0.5,0.7755102040816326,0.6608927381745503,0.6544871794871795,0.4736842105263157,P2,S3,RandomForest
0.55,0.7142857142857143,0.6229180546302465,0.6023188405797102,0.4736842105263157,P2,S3,RandomForest
0.6,0.6938775510204082,0.6102598267821452,0.5861486486486487,0.4736842105263157,P2,S3,RandomForest
0.65,0.6428571428571429,0.5786142571618921,0.5474336983770945,0.4736842105263157,P2,S3,RandomForest
0.7,0.6224489795918368,0.605929380413058,0.5514041816157367,0.5789473684210527,P2,S3,RandomForest
0.3,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.35,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.4,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.45,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.5,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.55,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.6,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.65,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.7,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.3,0.7653061224489796,0.6345769487008661,0.6318797974848931,0.4210526315789473,P2,S4,LogisticRegression
0.35,0.7551020408163265,0.6282478347768155,0.6230769230769231,0.4210526315789473,P2,S4,LogisticRegression
0.4,0.7346938775510204,0.6155896069287141,0.6060606060606061,0.4210526315789473,P2,S4,LogisticRegression
0.45,0.7346938775510204,0.6355762824783477,0.6190191387559809,0.4736842105263157,P2,S4,LogisticRegression
0.5,0.7244897959183674,0.6292471685542971,0.6105960264900663,0.4736842105263157,P2,S4,LogisticRegression
0.55,0.7040816326530612,0.6165889407061959,0.594173925460517,0.4736842105263157,P2,S4,LogisticRegression
0.6,0.6530612244897959,0.5849433710859427,0.5550213675213675,0.4736842105263157,P2,S4,LogisticRegression
0.65,0.6224489795918368,0.5859427048634244,0.542345071311372,0.5263157894736842,P2,S4,LogisticRegression
