,Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,TP_Std,Respons_Std,Laporan_Std,TP_Min,TP_Max,Respons_Min,Respons_Max,Laporan_Min,Laporan_Max,TP_Trend,Respons_Trend,Laporan_Trend,TP_Last2_Mean,Respons_Last2_Mean,Laporan_Last2_Mean,TP_LateEarly_Gap,Respons_LateEarly_Gap,Laporan_LateEarly_Gap,Activity_Score
Laporan_Std,0.06414896720880156,0.06277868574887008,0.14065452293215308,-0.20451479128917943,0.17813849433671716,0.23950552774272887,-0.017641916235654864,0.59315742074164,0.3213145118745752,0.150553291360861,1.0,-0.2259455684646795,0.23994563600797467,-0.0493992993462298,0.24650045434355175,-0.6136472560713709,0.36146368379379235,-0.2258341356237317,-0.1624050478823568,-0.03536472858870141,0.3265683381639413,0.3265683381639413,0.038138390665215814,-0.2258341356237317,-0.1624050478823568,-0.03536472858870141,0.009872836609325005
TP_Min,0.5651001091157368,0.7192740373281747,0.6441142407538811,0.5896962599854395,0.6347884312027272,0.5615360090416949,0.4988733406046187,-0.7149405782095323,-0.9577734052111513,-0.8137258096264189,-0.2259455684646795,1.0,-0.1260428453856037,0.8228879139193258,-0.13075107945162465,0.5943339083383774,0.43029403661920473,-0.02590870971281934,-0.06078151354177216,0.103336874526612,0.14585354036791598,0.14585354036791598,0.4848449363276245,-0.02590870971281934,-0.06078151354177216,0.103336874526612,0.6853144004167286
TP_Max,0.30452281412068305,0.06525052992689241,0.2291895724707862,-0.21302875714073613,0.24905272338001275,0.4065561348777519,0.05616551737041935,0.26285684311005514,0.2550654941123559,-0.03547347147056961,0.23994563600797467,-0.1260428453856037,1.0,0.1459539518405513,0.9982916899081814,-0.3175735086280284,-0.11971308038390543,0.28248437537592463,0.35607149076828165,-0.31773969516793504,0.7190882334182904,0.7190882334182904,-0.39854827550972727,0.28248437537592463,0.35607149076828165,-0.31773969516793504,0.08936864910289279
Respons_Min,0.6089763198481916,0.6089547696467777,0.7002063631590254,0.38210739374703295,0.585556423828901,0.6701297462047788,0.38015146359213636,-0.6734357861392478,-0.7434781510362174,-0.9555216021506993,-0.0493992993462298,0.8228879139193258,0.1459539518405513,1.0,0.14994151373493764,0.3582256681735602,0.33594011420720526,-0.0013679759182803363,0.06833148397312264,0.006942135768831883,0.3543249529559341,0.3543249529559341,0.3255868900841799,-0.0013679759182803363,0.06833148397312264,0.006942135768831883,0.6191518489487128
Respons_Max,0.30249505945425614,0.06019095769255798,0.2306156656553137,-0.22027198311176344,0.2445073210076105,0.40735326312182896,0.050353560575485394,0.2622014429148067,0.26024341803038215,-0.03906487606861308,0.24650045434355175,-0.13075107945162465,0.9982916899081814,0.14994151373493764,1.0,-0.3264950053009464,-0.12264905281611833,0.2820029077192538,0.3521599215917522,-0.3197771224586777,0.7202495069907809,0.7202495069907809,-0.4017598271043129,0.2820029077192538,0.3521599215917522,-0.3197771224586777,0.08574908964542778
Laporan_Min,0.47316845917365546,0.6048061820914616,0.4784751011421768,0.8349717301283751,0.46495225691148795,0.34824097189231484,0.6762003091973294,-0.785122114699253,-0.6791294384549442,-0.45676306879067635,-0.6136472560713709,0.5943339083383774,-0.3175735086280284,0.3582256681735602,-0.3264950053009464,1.0,0.4792947734801789,-0.04083781914806384,-0.08378053742753648,0.010563906758234107,-0.10163742762012712,-0.10163742762012712,0.6090436139390455,-0.04083781914806384,-0.08378053742753648,0.010563906758234107,0.6602752637623626
Laporan_Max,0.6069748897614211,0.769272008606795,0.7009335394871352,0.7878143453026437,0.7351881747126553,0.6550841195157323,0.8099719052622932,-0.26812283048379204,-0.41805597642126996,-0.3324892525955727,0.36146368379379235,0.43029403661920473,-0.11971308038390543,0.33594011420720526,-0.12264905281611833,0.4792947734801789,1.0,-0.3409538020005845,-0.32802192330953023,-0.05557294060884151,0.19894772348402578,0.19894772348402578,0.7464469137044006,-0.3409538020005845,-0.32802192330953023,-0.05557294060884151,0.7843362957003569
TP_Trend,-0.05782428844964602,-0.1017822272395689,-0.10331025774494121,-0.23569338405686155,-0.09082234310300188,-0.08044238895473506,-0.20512974452408148,0.031101654564550628,0.03313291763215623,0.016255971428741006,-0.2258341356237317,-0.02590870971281934,0.28248437537592463,-0.0013679759182803363,0.2820029077192538,-0.04083781914806384,-0.3409538020005845,1.0,0.9019279564527793,0.1961225536842242,0.2836386011930528,0.2836386011930528,-0.16262712566154663,1.0,0.9019279564527793,0.1961225536842242,-0.1411114379991578
Respons_Trend,-0.050442433967980246,-0.11576055584422694,-0.0858970880641061,-0.25183907855273463,-0.08478900234185739,-0.04269776432614217,-0.19207679833712124,0.029511670282045467,0.0813389919722029,-0.053829036092090755,-0.1624050478823568,-0.06078151354177216,0.35607149076828165,0.06833148397312264,0.3521599215917522,-0.08378053742753648,-0.32802192330953023,0.9019279564527793,1.0,0.1668901744071862,0.32924834792884466,0.32924834792884466,-0.1696097271892233,0.9019279564527795,1.0,0.1668901744071862,-0.14310216751902616
Laporan_Trend,-0.15447120901162487,-0.07396495825551745,-0.12966260134621427,-0.041599433579365644,-0.1419906808338006,-0.19576397306272017,-0.29733797195934614,-0.034075632389881,-0.1363847774253519,-0.03760341911416063,-0.03536472858870141,0.103336874526612,-0.31773969516793504,0.006942135768831883,-0.3197771224586777,0.010563906758234107,-0.05557294060884151,0.1961225536842242,0.1668901744071862,1.0,-0.2396275212428173,-0.2396275212428173,0.4171743911074475,0.19612255368422424,0.16689017440718618,1.0,-0.10522591346490553
TP_Last2_Mean,0.4431968594129813,0.41241208450786515,0.5176850221730444,0.01702004500255874,0.5836646437285082,0.6709109732767252,0.28954618527103304,0.11596028349281703,-0.037263314514708275,-0.26337806679821846,0.3265683381639413,0.14585354036791598,0.7190882334182904,0.3543249529559341,0.7202495069907809,-0.10163742762012712,0.19894772348402578,0.2836386011930528,0.32924834792884466,-0.2396275212428173,1.0,1.0,-0.019624221971170343,0.2836386011930528,0.32924834792884466,-0.2396275212428173,0.3658794369916939
Respons_Last2_Mean,0.4431968594129813,0.41241208450786515,0.5176850221730444,0.01702004500255874,0.5836646437285082,0.6709109732767252,0.28954618527103304,0.11596028349281703,-0.037263314514708275,-0.26337806679821846,0.3265683381639413,0.14585354036791598,0.7190882334182904,0.3543249529559341,0.7202495069907809,-0.10163742762012712,0.19894772348402578,0.2836386011930528,0.32924834792884466,-0.2396275212428173,1.0,1.0,-0.019624221971170343,0.2836386011930528,0.32924834792884466,-0.2396275212428173,0.3658794369916939
Laporan_Last2_Mean,0.42513833930310985,0.6412338752287841,0.5424864529452302,0.7487021242556221,0.5397874371278334,0.43495756075650854,0.5604243518371858,-0.4590194262092933,-0.5441957504783183,-0.3956633471272558,0.038138390665215814,0.4848449363276245,-0.39854827550972727,0.3255868900841799,-0.4017598271043129,0.6090436139390455,0.7464469137044006,-0.16262712566154663,-0.1696097271892233,0.4171743911074475,-0.019624221971170343,-0.019624221971170343,1.0,-0.16262712566154663,-0.16960972718922326,0.4171743911074475,0.6507895105156656
TP_LateEarly_Gap,-0.05782428844964602,-0.1017822272395689,-0.10331025774494121,-0.23569338405686155,-0.09082234310300188,-0.08044238895473506,-0.20512974452408148,0.031101654564550628,0.03313291763215623,0.016255971428741006,-0.2258341356237317,-0.02590870971281934,0.28248437537592463,-0.0013679759182803363,0.2820029077192538,-0.04083781914806384,-0.3409538020005845,1.0,0.9019279564527795,0.19612255368422424,0.2836386011930528,0.2836386011930528,-0.16262712566154663,1.0,0.9019279564527793,0.1961225536842242,-0.1411114379991578
Respons_LateEarly_Gap,-0.050442433967980246,-0.11576055584422694,-0.0858970880641061,-0.25183907855273463,-0.08478900234185739,-0.04269776432614217,-0.19207679833712124,0.029511670282045467,0.0813389919722029,-0.053829036092090755,-0.1624050478823568,-0.06078151354177216,0.35607149076828165,0.06833148397312264,0.3521599215917522,-0.08378053742753648,-0.32802192330953023,0.9019279564527793,1.0,0.16689017440718618,0.32924834792884466,0.32924834792884466,-0.16960972718922326,0.9019279564527793,1.0,0.1668901744071862,-0.14310216751902616
Laporan_LateEarly_Gap,-0.15447120901162487,-0.07396495825551745,-0.12966260134621427,-0.041599433579365644,-0.1419906808338006,-0.19576397306272017,-0.29733797195934614,-0.034075632389881,-0.1363847774253519,-0.03760341911416063,-0.03536472858870141,0.103336874526612,-0.31773969516793504,0.006942135768831883,-0.3197771224586777,0.010563906758234107,-0.05557294060884151,0.1961225536842242,0.1668901744071862,1.0,-0.2396275212428173,-0.2396275212428173,0.4171743911074475,0.1961225536842242,0.1668901744071862,1.0,-0.10522591346490553
Activity_Score,0.90492069264576,0.9627997231959843,0.9522174509035254,0.8637170902508664,0.9111148188860643,0.8951827092295312,0.870213920440898,-0.5676863114304821,-0.6781495305055907,-0.6446526610889811,0.009872836609325005,0.6853144004167286,0.08936864910289279,0.6191518489487128,0.08574908964542778,0.6602752637623626,0.7843362957003569,-0.1411114379991578,-0.14310216751902616,-0.10522591346490553,0.3658794369916939,0.3658794369916939,0.6507895105156656,-0.1411114379991578,-0.14310216751902616,-0.10522591346490553,1.0
